Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10 uF,
C2,0402,1,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,16,SK6812MINI,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
Q1,SOT-23,1,AO3400A,
R1,0402,1,330,
R2,0402,1,10k,
"R3, R4",0402,2,4.7k,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
TP1,TestPoint_Pad_D4.0mm,1,TOUCH,
U1,XIAO-ESP32S3-DIP,1,XIAO-ESP32-S3-DIP,
U2,Texas_PWSON-N6,1,HDC1080,
