Designator,Mid X,Mid Y,Rotation,Layer
C1,148.0,-82.0,270.0,top
C2,143.5,-105.25,0.0,top
D1,143.875,-80.5,90.0,top
D10,98.617228,-92.921956,300.0,top
D11,104.0,-99.5,320.0,top
D12,112.25,-103.75,340.0,top
D13,121.75,-104.75,0.0,top
D14,131.595194,-102.579234,20.0,top
D15,139.0,-96.75,60.0,top
D16,143.0,-89.125356,80.0,top
D2,141.5,-71.5,110.0,top
D3,136.75,-63.75,130.0,top
D4,128.345194,-58.670766,160.0,top
D5,118.25,-57.5,180.0,top
D6,108.375,-59.875,200.0,top
D7,101.25,-66.25,240.0,top
D8,97.0,-74.75,250.0,top
D9,96.25,-84.75,270.0,top
J1,163.5,-71.0,90.0,top
J2,164.75,-130.56,180.0,top
Q1,156.6875,-73.55,180.0,top
R1,148.0,-79.0,90.0,top
R2,151.76,-90.0,0.0,top
R3,162.0,-90.0,0.0,top
R4,158.75,-90.0,0.0,top
SW1,167.5,-83.85,270.0,bottom
U1,159.42,-100.88,90.0,bottom
U2,143.4,-108.05,0.0,top
